Keyword,Confidentiality Level,Sensivity Level
กระจุกกระจิก,5,10
กระดาน,5,10
แก่,10,10
เกรียน,10,10
เกเร,10,10
เกิน,10,10
ขวางโลก,10,10
ขัดสมาธิ,10,10
ขุ่นมัว,10,10
คมคาย,10,10
กระเซอะกระเซิง,15,10
เคร่งขรึม,15,10
เครียด,15,10
งอแง,10,10
โง่,15,10
จังไร,15,10
จัญไร,15,10
เจือ,10,10
เจือจาง,10,10
ต่ำ,10,10
